Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	mean_counts
gene-PA3821	22	79	20	15	14	11	host	secD	26.833333333333332
gene-PA1715	3	22	0	0	0	1	host	pscB	4.333333333333333
gene-PA2803	7	2	0	0	0	0	host	gene-PA2803	1.5
gene-PA5220	7	7	0	0	0	0	host	gene-PA5220	2.3333333333333335
gene-PA3642	9	13	0	0	0	0	host	rnhB	3.6666666666666665
gene-PA0413	95	122	3	3	1	1	host	chpA	37.5
gene-PA0975	23	80	1	0	3	0	host	gene-PA0975	17.833333333333332
gene-PA0615	7	3	3	5	8	10	host	gene-PA0615	6.0
gene-PA1578a	1	11	1	0	0	0	host	gene-PA1578a	2.1666666666666665
gene-PA2402	85	34	13	12	17	10	host	gene-PA2402	28.5
gene-PA2496	3	4	0	0	0	0	host	gene-PA2496	1.1666666666666667
gene-PA1420	3	2	2	1	1	1	host	gene-PA1420	1.6666666666666667
gene-PA5016	34	87	6	5	5	4	host	aceF	23.5
gene-PHIKZ060	2	2	5071	5177	2690	2667	phage	gene-PHIKZ060	2601.5
gene-PA2021	1	3	0	0	0	0	host	gene-PA2021	0.6666666666666666
gene-PA5553	23	64	6	3	1	0	host	atpC	16.166666666666668
gene-PA0768	19	49	24	16	7	9	host	lepB	20.666666666666668
gene-PA4166	2	1	0	0	0	0	host	gene-PA4166	0.5
gene-PA2032	6	12	0	1	3	1	host	gene-PA2032	3.8333333333333335
gene-PA2393	7	3	0	0	1	1	host	gene-PA2393	2.0
gene-PA3366.1	9	95	1	1	0	0	host	amiL	17.666666666666668
gene-PA2135	4	1	2	3	0	5	host	gene-PA2135	2.5
gene-PA0255	14	8	0	0	0	0	host	gene-PA0255	3.6666666666666665
gene-PA0298	18	8	13	8	14	8	host	spuB	11.5
gene-PA2014	10	10	2	2	3	0	host	liuB	4.5
gene-PA0221	13	12	0	0	0	0	host	gene-PA0221	4.166666666666667
gene-PA4597	11	5	1	0	0	0	host	oprJ	2.8333333333333335
gene-PA2341	6	4	1	0	0	1	host	gene-PA2341	2.0
gene-PA2551	5	6	1	3	2	3	host	gene-PA2551	3.3333333333333335
gene-PA0783	13	17	36	38	26	27	host	putP	26.166666666666668
gene-PA1076	2	9	0	0	0	0	host	gene-PA1076	1.8333333333333333
gene-PA3467	12	7	0	0	1	5	host	gene-PA3467	4.166666666666667
gene-PA2017	7	3	0	0	0	0	host	gene-PA2017	1.6666666666666667
gene-PHIKZ241	1	1	347	319	133	124	phage	gene-PHIKZ241	154.16666666666666
gene-PA1008	5	21	0	0	1	2	host	bcp	4.833333333333333
gene-PA2435	9	10	0	0	0	0	host	gene-PA2435	3.1666666666666665
gene-PA3480	12	62	3	2	1	1	host	gene-PA3480	13.5
gene-PA4123	18	5	1	0	0	0	host	hpcC	4.0
gene-PA3204	10	10	1	1	0	0	host	gene-PA3204	3.6666666666666665
gene-PA5542	15	6	1	1	1	1	host	gene-PA5542	4.166666666666667
gene-PA1866	10	10	1	1	0	1	host	gene-PA1866	3.8333333333333335
gene-PA2287	5	3	0	0	0	0	host	gene-PA2287	1.3333333333333333
gene-PA0966	6	14	2	3	2	2	host	ruvA	4.833333333333333
gene-PA5214	7	22	2	0	3	0	host	gcvH1	5.666666666666667
gene-PA2392	6	7	0	0	0	1	host	pvdP	2.3333333333333335
gene-PA2291	9	15	1	0	0	0	host	gene-PA2291	4.166666666666667
gene-PA5328	5	0	1	0	0	1	host	gene-PA5328	1.1666666666666667
gene-PA1231	6	2	0	0	0	1	host	gene-PA1231	1.5
gene-PA1044	1	2	0	0	2	0	host	gene-PA1044	0.8333333333333334
gene-PA0676	4	4	21	7	15	24	host	vreR	12.5
gene-PA4225	29	21	19	17	15	31	host	pchF	22.0
gene-PA4118	17	10	1	0	0	0	host	gene-PA4118	4.666666666666667
gene-PA4181	9	3	1	0	0	0	host	gene-PA4181	2.1666666666666665
gene-PA1807	7	11	1	1	1	1	host	gene-PA1807	3.6666666666666665
gene-PA1330	9	7	0	0	0	0	host	gene-PA1330	2.6666666666666665
gene-PA2495	8	1	0	0	0	0	host	oprN	1.5
gene-PA3782	7	6	0	0	1	0	host	gene-PA3782	2.3333333333333335
gene-PA0441	19	9	0	0	3	1	host	dht	5.333333333333333
gene-PA3789	11	11	0	0	0	1	host	gene-PA3789	3.8333333333333335
gene-PA3110	10	10	4	1	1	2	host	gene-PA3110	4.666666666666667
gene-PA0588	13	22	9	19	8	13	host	gene-PA0588	14.0
gene-PA1726	16	25	1	1	3	1	host	bglX	7.833333333333333
gene-PA1490	1	1	1	1	0	0	host	gene-PA1490	0.6666666666666666
gene-PA2321	2	11	0	1	0	0	host	gene-PA2321	2.3333333333333335
gene-PA3726	6	5	0	0	1	0	host	gene-PA3726	2.0
gene-PA2583.1	93	539	2	1	4	7	host	gene-PA2583.1	107.66666666666667
gene-PA1112b	6	48	0	0	0	0	host	gene-PA1112b	9.0
gene-PA2754	4	1	1	1	0	0	host	gene-PA2754	1.1666666666666667
gene-PA4324	6	14	0	1	1	1	host	gene-PA4324	3.8333333333333335
gene-PA0564	13	6	4	2	8	5	host	gene-PA0564	6.333333333333333
gene-PA3364	7	9	26	13	29	18	host	amiC	17.0
gene-PA0895	10	42	0	0	0	0	host	aruC	8.666666666666666
gene-PA2166	3	1	0	2	2	3	host	gene-PA2166	1.8333333333333333
gene-PA0543	6	2	0	0	0	0	host	gene-PA0543	1.3333333333333333
gene-PA3133.3	12	116	0	0	0	0	host	gene-PA3133.3	21.333333333333332
gene-PA5099	15	3	0	0	2	3	host	gene-PA5099	3.8333333333333335
gene-PA4947	34	75	38	35	45	43	host	amiB	45.0
gene-PA2662	7	0	0	0	0	1	host	gene-PA2662	1.3333333333333333
gene-PA1286	6	1	1	2	5	4	host	gene-PA1286	3.1666666666666665
gene-PHIKZ219	0	2	2658	2498	2534	2705	phage	gene-PHIKZ219	1732.8333333333333
gene-PA0482	31	18	4	4	1	1	host	glcB	9.833333333333334
gene-PA1767	15	34	12	13	16	12	host	gene-PA1767	17.0
gene-PA1198	21	161	2	0	1	0	host	gene-PA1198	30.833333333333332
gene-PHIKZ_p25	0	0	168	148	47	48	phage	gene-PHIKZ_p25	68.5
gene-PA3833	7	4	2	0	0	2	host	gene-PA3833	2.5
gene-PA1131	6	9	0	0	0	1	host	gene-PA1131	2.6666666666666665
gene-PA1848	8	5	0	0	0	0	host	gene-PA1848	2.1666666666666665
gene-PA2911	29	19	1	1	0	0	host	gene-PA2911	8.333333333333334
gene-PA5125	18	20	0	0	0	0	host	ntrC	6.333333333333333
gene-PA4284	21	58	28	77	58	94	host	recB	56.0
gene-PA2217	9	1	0	0	3	1	host	gene-PA2217	2.3333333333333335
gene-PA2725	11	12	1	1	0	0	host	gene-PA2725	4.166666666666667
gene-PA0681	4	1	10	9	24	22	host	gene-PA0681	11.666666666666666
gene-PA1225	7	5	2	1	1	1	host	gene-PA1225	2.8333333333333335
gene-PA2693	4	3	0	0	0	1	host	gene-PA2693	1.3333333333333333
gene-PA5353	7	5	9	15	10	17	host	glcF	10.5
gene-PA5446	6	15	6	2	4	7	host	gene-PA5446	6.666666666666667
gene-PA3178	5	2	1	2	1	2	host	gene-PA3178	2.1666666666666665
gene-PHIKZ_p52	0	0	8	14	68	82	phage	gene-PHIKZ_p52	28.666666666666668
gene-PA0641	25	14	31	42	63	66	host	gene-PA0641	40.166666666666664
gene-PA0136	15	6	1	12	4	29	host	gene-PA0136	11.166666666666666
gene-PHIKZ016	3	0	610	594	406	401	phage	gene-PHIKZ016	335.6666666666667
gene-PA1692	0	4	0	1	0	0	host	gene-PA1692	0.8333333333333334
gene-PHIKZ069	4	3	79993	79057	61408	60571	phage	gene-PHIKZ069	46839.333333333336
gene-PA3198	6	9	0	3	3	1	host	gene-PA3198	3.6666666666666665
gene-PA4966	10	8	0	0	0	0	host	gene-PA4966	3.0
gene-PA0025	8	14	0	0	1	1	host	aroE	4.0
gene-PA4747	134	741	66	73	83	96	host	secG	198.83333333333334
gene-PA4139	3	4	5	5	1	2	host	gene-PA4139	3.3333333333333335
gene-PA2609	6	4	1	1	1	0	host	gene-PA2609	2.1666666666666665
gene-PA4732	15	18	2	5	6	8	host	pgi	9.0
gene-PA3388	11	8	0	0	0	0	host	gene-PA3388	3.1666666666666665
gene-PA1989	12	5	0	0	0	7	host	pqqE	4.0
gene-PA0436	16	15	4	2	3	4	host	gene-PA0436	7.333333333333333
gene-PA2228	8	7	34	36	28	25	host	gene-PA2228	23.0
gene-PA1709	5	31	1	2	1	1	host	popD	6.833333333333333
gene-PA3063	21	13	0	0	0	2	host	pelB	6.0
gene-PHIKZ001	0	0	141	125	1664	1524	phage	gene-PHIKZ001	575.6666666666666
gene-PHIKZ119	1	0	2666	2659	293042	292026	phage	gene-PHIKZ119	98399.0
gene-PA2494	19	14	2	1	3	2	host	mexF	6.833333333333333
gene-PA0122	14	7	1	3	2	2	host	gene-PA0122	4.833333333333333
gene-PA4959	24	41	0	0	3	1	host	fimX	11.5
gene-PA3261	3	6	3	1	1	1	host	gene-PA3261	2.5
gene-PHIKZ208	0	1	8757	8470	6604	6454	phage	gene-PHIKZ208	5047.666666666667
gene-PA4974	26	31	3	4	2	2	host	gene-PA4974	11.333333333333334
gene-PA2888	18	2	0	0	0	0	host	atuC	3.3333333333333335
gene-PA0297	13	26	4	6	6	5	host	spuA	10.0
gene-PA1667	5	3	2	2	0	0	host	gene-PA1667	2.0
gene-PA0647	6	0	19	19	37	33	host	gene-PA0647	19.0
gene-PA4383	3	4	0	0	0	1	host	gene-PA4383	1.3333333333333333
gene-PA2631	1	11	0	2	1	0	host	gene-PA2631	2.5
gene-PA3260	4	14	0	0	1	1	host	gene-PA3260	3.3333333333333335
gene-PHIKZ010	0	0	2786	2692	2994	2891	phage	gene-PHIKZ010	1893.8333333333333
gene-PA3264	7	5	0	0	1	0	host	gene-PA3264	2.1666666666666665
gene-PA4719	17	33	51	35	60	40	host	gene-PA4719	39.333333333333336
gene-PA4868	28	6	0	1	1	2	host	ureC	6.333333333333333
gene-PA0732	3	3	2	3	3	1	host	gene-PA0732	2.5
gene-PA4960	22	23	0	0	2	2	host	gene-PA4960	8.166666666666666
gene-PA2048	1	0	1	2	7	2	host	gene-PA2048	2.1666666666666665
gene-PA4607	6	15	1	1	2	2	host	gene-PA4607	4.5
gene-PA3368	37	171	0	0	0	0	host	gene-PA3368	34.666666666666664
gene-PHIKZ_p40	1	2	728	724	1043	1025	phage	gene-PHIKZ_p40	587.1666666666666
gene-PA1085	15	8	1	0	1	3	host	flgJ	4.666666666666667
gene-PA0910	2	0	1	1	0	2	host	gene-PA0910	1.0
gene-PA4240	16	72	252	239	204	202	host	rpsK	164.16666666666666
gene-PA0048	7	1	0	1	0	0	host	gene-PA0048	1.5
gene-PA4885	10	4	5	6	11	10	host	irlR	7.666666666666667
gene-PA2059	7	2	0	0	0	0	host	gene-PA2059	1.5
gene-PA0565	4	1	0	0	0	0	host	gene-PA0565	0.8333333333333334
gene-PA5178	30	29	1	1	1	2	host	gene-PA5178	10.666666666666666
