Geneid	Entity	Symbol	Label	SourceFile
gene-PPLUZ19_gp23	phage	gp23	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp36	phage	gp36	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp16	phage	gp16	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp40	phage	gp40	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp44	phage	gp44	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp48	phage	gp48	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp5	phage	gp5	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp6	phage	gp6	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp46	phage	gp46	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp46.1	phage	gp46.1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp31	phage	gp31	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp9	phage	gp9	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp19	phage	gp19	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp24	phage	gp24	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp11	phage	gp11	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp27	phage	gp27	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp0.1	phage	gp0.1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp4	phage	gp4	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp42	phage	gp42	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp7	phage	gp7	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp26	phage	gp26	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp34	phage	gp34	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp20	phage	gp20	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp8	phage	gp8	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp14	phage	gp14	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp28	phage	gp28	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp35	phage	gp35	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp41	phage	gp41	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp32	phage	gp32	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp45	phage	gp45	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp10	phage	gp10	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp13	phage	gp13	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp49	phage	gp49	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp21	phage	gp21	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp12.1	phage	gp12.1	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp43	phage	gp43	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_PPLUZ19_gp20	phage	gene-PPLUZ19_PPLUZ19_gp20	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp12	phage	gp12	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp25	phage	gp25	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp1	phage	gp1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp47	phage	gp47	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp25.1	phage	gp25.1	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp22	phage	gp22	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp37	phage	gp37	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp3	phage	gp3	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp30	phage	gp30	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp33	phage	gp33	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp13.1	phage	gp13.1	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp15	phage	gp15	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp39	phage	gp39	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp2	phage	gp2	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp18	phage	gp18	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp38	phage	gp38	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp29	phage	gp29	late	Brandao_LB_cleaned.tsv
gene-PHIKZ060	phage	gene-PHIKZ060	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ241	phage	gene-PHIKZ241	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ219	phage	gene-PHIKZ219	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p25	phage	gene-PHIKZ_p25	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p52	phage	gene-PHIKZ_p52	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ016	phage	gene-PHIKZ016	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ069	phage	gene-PHIKZ069	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ001	phage	gene-PHIKZ001	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ119	phage	gene-PHIKZ119	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ208	phage	gene-PHIKZ208	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ010	phage	gene-PHIKZ010	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p40	phage	gene-PHIKZ_p40	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ257	phage	gene-PHIKZ257	middle	Ceyssens_non-directional_cleaned.tsv
