Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	gene_length	Entity	Symbol
gene-PA2589	250033.12320170444	457550.86555639043	6731.02629329048	2.9996649314465262	8.307697574344763	19.360638963599495	0.22712277276555012	0.48636425690058105	4.331324215338289	0.0	0.0	20.084547056490738	1215	host	gene-PA2589
gene-PA1795	25242633.612172075	32961527.64669789	74902.74378433875	569.8794019029308	878.0119031853327	69.89332185322486	37.91127410913034	40.16461444729961	8.211170064584119	13.410041021455063	9.538539688908585	21.382338920938338	1383	host	cysS
gene-PA2468	38290838.48453848	39055597.892779134	13131.337421881715	43.88960611401168	58.34596851346177	14.473222599203199	5.317036009829352	3.9850944170900213	3.2020437612631714	1.5369578994072433	1.7837001507298886	19.919268030911258	519	host	foxI
gene-PA4119	439184.5751405403	794858.8813997918	5911.542608884296	19.193952651495664	26.266530806617922	23.51509302754517	3.0775557871019714	1.4645169073958018	3.432178257116038	1.4826787170861697	0.8603535113650671	26.067945000252372	807	host	aph
gene-PA2246	1643886.6054657514	1943791.2645140362	5900.574997365031	17.74964070636784	45.88114796740403	43.21439140052589	0.5973033959094014	1.2790748314593203	4.796134811242672	0.0	1.001883526221658	18.73409865546894	462	host	bkdR
gene-PA1033	867521.4671834838	1332193.3900096198	14861.728614858652	18.45004189727332	17.294762940984075	38.487879821417756	1.289505462196932	1.8409114396704236	6.471420218440754	0.9318705020938777	0.36049080149097046	22.843733485134372	642	host	gene-PA1033
gene-PA2214	57405.56400039133	64646.11915239426	5408.860414251279	2.066095743598373	0.7629518180520701	33.16974502595764	0.0	0.4466610522556357	4.815167092239666	0.0	0.0	27.803781337878508	1323	host	gene-PA2214
gene-PA3210	434980.30453904765	529031.8493110366	8665.328952315966	8.767061938815363	17.343389266029014	43.88221408686248	1.327614558330587	0.6092088372517587	6.281947708952385	0.27411723360562174	1.272495365262972	20.902575939701627	1455	host	trkH
gene-PA4724	1894383.6120129137	2036352.753300419	9658.679311162998	184.91556905205437	45.7771090831242	21.739630185931695	2.50298565904892	1.6749789459586337	4.710489546756195	0.45220019829498825	0.5247961327827734	24.12386910198282	882	host	gene-PA4724
gene-PA1496	505128.53674992226	1204603.0371636283	5199.362299614785	9.624805171762844	15.401418214410274	28.073384791430744	0.0	0.34679141557171717	4.876351854740569	0.7021841107327107	1.0865497397051787	15.52013063495911	852	host	gene-PA1496
gene-PA3978	2443971.3067051847	4128343.559969702	40965.46739973919	59.74742445422179	108.47673963878039	49.68848379829985	7.539731390987525	7.534659389689329	195.75044210476236	2.905942257895662	4.215575492845228	178.45451747479558	549	host	gene-PA3978
gene-PA3440	4543871.181261744	6304861.409257066	39318.254549749676	96.37144665572795	129.40836606190882	70.32623825215057	7.075747920772909	5.682043962828904	18.64266824466202	1.9175027639239404	2.2253374476654137	36.60254585062909	312	host	gene-PA3440
gene-PA2568	6825352.71975241	6812797.8143506665	25890.942129982224	96.02787643592144	183.0747766934651	35.36809756295225	5.410866057061637	10.8627311054082	6.78864669973687	1.9551008573342141	2.836214394083371	13.553140816517768	408	host	gene-PA2568
gene-PA3091	4289630.769929242	4929670.623614765	8992.23043869275	43.02644386043611	58.17984457533317	24.160125093231308	3.066157432334927	3.2829587340789224	3.0775198372140475	1.5233494180062417	1.2857505253177948	14.692390334427957	1440	host	gene-PA3091
gene-PA0925	1489167.8661277986	1467371.8369370666	15033.450269021936	58.06336714730133	69.27153712725706	51.35641563935532	2.029074771398114	5.79345658955104	14.935022739421115	5.376527357669088	2.268971515266697	35.650653017361954	408	host	gene-PA0925
gene-PA5178	58839130.34522301	92654050.27516906	212390.38873220945	1069.2470013342868	1403.4603207015507	200.381610362292	82.53423773339907	103.88540651674397	187.8130256820354	28.228442515483035	31.17504698373283	70.25999861046495	438	host	gene-PA5178
gene-PA5205	3786559.3177181208	4934239.3637664	34464.14904978058	22.064843005351854	50.32547569074232	53.78302905369674	0.39309710670960607	4.62981359934207	17.754922137773352	2.2725958683543004	0.6593592437527154	31.850636389319344	702	host	gene-PA5205
gene-PA1439	2171703.13810304	3249180.4960749336	13363.066905797277	49.130541432331896	64.32357018959586	23.25573538385901	5.410866057061637	4.3450924421632795	5.430917359789497	0.9775504286671071	3.403457272900045	15.615575288596558	408	host	gene-PA1439
gene-PA1503	410210.5927527963	395957.4798084148	6310.337149959825	8.436557619693357	7.009619828353394	21.506171957989988	0.6387827984031098	0.0	3.2057498304312997	0.0	0.0	16.97416307575957	432	host	gene-PA1503
gene-PA1695	1026318.3942232125	500832.70419010305	3376.8831234920135	11.491959568447164	7.274848686723521	11.575489909533426	1.4916441562710456	1.5971150598221784	1.497171812698726	0.17965791661990071	0.8340003407466776	8.772115113675659	1110	host	pscP
gene-PA4506	963669.3290065691	1495839.3681651226	10867.802869375255	13.123534075078554	19.730781739068814	26.437847324243013	0.5678069319138753	1.823865963377179	6.5539774311039904	0.2051649047819854	0.4762038982658499	30.423636551088194	972	host	gene-PA4506
