Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	gene_length	Entity	Symbol
gene-b0378	247208.28106505363	465203.0474963746	137163.46878287772	81882.77465844282	4113.885776551021	3916.3211404641343	79.58317757612151	58.62167319548013	12.064402085885723	9.856519352571324	12.897389707044578	11.027209216946725	1095.0	host	yaiW
gene-b3128	17103.04910096308	38079.48192898187	9158.58429596138	6173.780084799813	222.96031998488002	284.3313760059097	6.714412779926361	4.681959545839388	1.2250202416231635	1.2707244568298033	0.9686111897021196	2.4293922666839847	1572.0	host	garD
gene-b3532	30987.482434829606	58094.98993248014	16862.92804654314	9322.393404923549	547.5695525614377	493.7489313186321	9.73652840076001	6.290632825691896	1.5636284007179768	1.1212331831866797	1.5454315712619076	2.7600900827748287	2340.0	host	bcsB
gene-b0048	1229728.6656423144	2161913.451702554	851321.50426864	518277.51008209155	31314.59418751576	28278.163588810396	681.1444232904566	517.8425053630484	65.15392657096959	59.2565366671074	46.39344907676371	39.89830218567658	480.0	host	folA
gene-b3636	33672960.6226458	66012554.28687386	32773735.459801972	19205788.33250315	1101448.7831028232	1019585.1074465502	22414.938249001472	18829.880348685274	1792.5353689599265	1625.2511614176983	1363.8201220661329	1057.0459280361065	168.0	host	rpmG
gene-b3228	2228229.446288451	3679753.683582664	1693568.4085819172	828879.2806411593	55138.88420549641	52259.835440966184	855.8084377249604	692.0031890095612	136.115984052355	113.45117525111112	98.07071595590624	123.7139172460508	498.0	host	sspB
gene-b4771	199909.88199997752	429110.7210921828	164578.12658037597	145099.56537731344	4362.549648957343	4841.3824652410885	166.8595262653787	129.3959283765738	11.411744117520671	8.833958412985961	14.80360768261406	15.080492191392905	54.0	host	ychT
gene-b1695	6365.055205187964	10392.525276451304	3548.715854389357	2550.578297648088	99.75342185115876	117.13022093325213	2.905143537656147	1.374831739001097	0.7355225700745747	0.15528442522826888	0.36348143863561316	0.8531528448794478	1152.0	host	ydiO
gene-b2871	11230.57359511861	25488.531553595818	7573.068681743616	4463.076173601576	249.60856234635816	211.36280469158277	6.7747476829552244	3.1911176321440755	1.2870388102466923	0.523063327084695	0.7314349660582672	1.8063747452485148	1197.0	host	ygeX
gene-b2611	102098.05723069176	184322.55974186942	68000.68957343716	45755.82885477783	1683.1122814159148	1613.2025883079725	43.88188840095997	35.52506397247753	5.057477506628478	4.555009806695886	5.383130066405112	4.999254072852037	792.0	host	ypjD
gene-b0467	373802.3329592204	751919.0135501657	191546.4968677512	103372.19811294401	5571.682035031994	5031.275399178329	114.09290984249596	90.87123151900298	24.72814723192867	21.626885404518898	22.926366443528917	19.465180751743034	528.0	host	priC
gene-b0693	8521.474544826451	17562.512459434496	5173.096911885215	4575.414175515559	188.12978221970243	170.6617680173442	6.321865504967769	4.956940885148967	0.875730704789274	0.37963122784318937	0.8136069706679333	1.072668024339562	2199.0	host	speF
gene-b0116	10290717.519780213	15532814.373446066	6175276.2119302135	2410096.8383542397	249807.0971567167	167436.5411693593	5075.640964070054	3216.7119521966188	840.2677410069476	659.5410103876337	496.97380570349225	488.0561816243996	1425.0	host	lpd
gene-b1715	1896503.5598035601	3887743.133095177	1765594.1419542737	1032845.0880948767	44561.84860934964	35420.178810215446	1069.807934112885	857.1186295664249	77.02927279326452	86.13109452661314	77.82468038859963	74.25842361830713	45.0	host	pheM
gene-b3091	44350.06207485807	82534.60240361742	26279.41053460842	12565.898944424598	791.5916701737115	725.4516909414325	13.66787133348897	11.20735702229357	3.2095530330526887	2.8051380041235667	2.481480320069523	3.000581802820251	1488.0	host	uxaA
gene-b3266	25714.41304150654	55100.30418661941	16257.456677852791	10753.426287844377	492.2325372736599	410.125527209764	12.892748489076466	8.281339416100723	5.2345174104279595	1.6899746529190536	2.0964115227552833	3.047751645277007	3105.0	host	acrF
gene-b1845	126498.13741120764	281826.4299225515	81412.2715241266	43719.95638006388	1873.4476711679633	1724.7297161001145	30.603057218977753	25.178526499825892	5.38195792442023	4.701478958876263	6.427517746163061	6.390077552564318	2061.0	host	ptrB
gene-b1838	61693.56399792534	130496.68504447202	100911.19103750175	64508.77315031245	1819.0651392912675	2342.6044186650424	27.428963221706088	18.43448842625161	3.634562338799392	3.4488741749328753	3.9978431706472413	4.060406494612166	657.0	host	pphA
gene-b1176	1430162.059207061	3253843.0195921035	743921.5076823651	441226.05886336084	21521.972753045866	20108.027755730887	386.9003892271614	336.51865235038616	68.61803036181611	67.55407960964966	70.9369919865164	65.4817923423532	696.0	host	minC
gene-b4434	568068.4469526153	1297244.620933778	789896.0100850461	705361.9644730701	16743.252745398335	13666.285657608125	949.6976796920294	524.7056654041419	33.35367511948354	32.61718295034742	37.533489878719195	23.08251335832925	1000.0	host	azuR
gene-b1480	3695790.894792037	8977742.564763406	2863230.0682552885	3213768.9803851703	48797.639127467715	48736.35714483577	1248.9591000149555	1024.8157527424644	139.54578404576907	120.12263015918954	262.05144034441037	272.46628395573595	138.0	host	sra
gene-b0537	249177.69380584633	536498.9969119019	185532.14578932078	156046.62724504893	4990.550572776322	5288.97286275922	170.41051323818388	122.13908455834124	13.764681048968233	14.42064023150769	16.41696109721412	13.89571125492016	1164.0	host	intD
gene-b0989	19125.048503851158	50768.02897428642	25034.419254479726	21319.046257422175	728.3404772907141	732.4763111882246	32.028971440074706	16.62099812386413	1.2657392243024688	1.9596457042891393	1.9658714427616257	1.1865175983514573	213.0	host	cspH
gene-b1009	12205.648932794895	32785.987678953294	5547.577300462111	6113.745732190174	150.6388752448959	163.19266736767713	3.053288281581568	2.5588408308176396	0.8174142556089244	0.5211042884064753	0.4277125815201494	1.5425222543695183	801.0	host	rutD
gene-b2632	24281.506893865193	56320.782143348995	14606.308734008368	10614.52786495972	458.8657405153303	473.40130960522737	8.64093975302854	7.548095821966806	1.4710451401491489	1.1042448016232451	1.5861008231372207	2.535082739070359	864.0	host	yfjP
gene-b3706	637009.1292822837	1234141.2958708361	467734.6528431116	245719.80844091202	22827.4415134453	20048.574958860827	192.18445405083682	150.3609126401365	26.043230325341817	22.300891169485713	23.592814002181782	24.213361695100424	1365.0	host	mnmE
gene-b2938	3325359.827744694	6061986.5995140895	1903851.755762936	855570.0093549254	65232.38031293742	58319.11922873286	885.6106432410635	707.1026058721055	227.21102898023372	196.0193708398945	189.00352873948356	167.64747464968804	1977.0	host	speA
gene-b1379	989517.8021114904	2484277.174663467	690807.932165459	463294.2118889753	15933.380606830193	18381.968289439737	346.60121656461945	304.38327321944683	53.17387152631972	54.765843246463504	63.264049853359786	50.983791649257896	423.0	host	hslJ
gene-b0590	145921.265599533	50724.730015672954	107000.346176734	12491.950370679158	754.6718577300799	104.8927351641064	9.477905713666715	3.800763985747721	1.8011820006385242	0.9196546258295089	1.2120651066362047	1.7602962578527592	1005.0	host	fepD
gene-b1907	55625.961001114614	112482.24099916377	45022.70928134444	29091.744543471264	1175.7076571447465	1255.9606858486343	28.25047424889085	21.600152004247867	4.258218875535251	3.5423298586725886	6.438627103824362	5.004519771264563	1212.0	host	tyrP
gene-b4144	3987329.498029612	8070918.088067717	1683550.5511240698	1084809.289146991	44391.96345972923	42762.45693054663	927.949055511675	705.8438235375681	190.94120586465996	173.83433419452038	203.3435021391515	153.25517137576847	354.0	host	yjeI
gene-b4154	315036.8064409671	662453.018681116	171947.2964272585	109612.18863476155	5317.006270371017	5589.617309411714	64.89376885033064	57.371965855324675	14.562748090268917	14.140925967055887	18.517661351386458	23.47061677137012	1809.0	host	frdA
gene-b1895	210328.72398308755	532937.5109508508	117253.28346859234	94227.08584419942	2223.3154274406515	1906.8472330951815	51.308054130353206	39.524574485935275	11.042657987845615	9.104228119676966	17.03671933104036	17.476934041918085	429.0	host	uspC
gene-b2896	1019407.2728622605	1783333.6732448658	632560.8700448098	337822.04960506875	20138.455517245697	16350.000839682783	382.0592388164627	284.51881192448997	65.79583717758013	54.221667538529644	51.221726582490255	53.75293083838779	408.0	host	ygfX
gene-b1171	230839.33544148345	387369.95094957954	135732.06948519734	76357.14731735896	3900.177424522396	3795.019158237369	120.91898137153416	76.50828346920328	16.45625373310651	11.203065441923105	13.726981669333036	8.849743380027434	330.0	host	ymgD
gene-b1553	4907.994375084695	14734.524760394228	7138.328381799441	4291.005766908504	184.6039228474456	186.2793875083046	2.5847430918905476	2.244941407979112	0.38669313651237214	0.17960608219173266	0.3821929694306556	1.2969097979303412	498.0	host	rzpQ
gene-b3780	580155.1739629143	1076539.1479153885	375565.7248741755	160494.12288449288	9226.860585709455	9139.487949976601	169.39009727982994	124.14650114006446	21.934480917829276	20.747765478840545	25.948910149145433	28.125278131749603	1266.0	host	rhlB
gene-b0650	18771.389617693763	34205.59428454743	11700.707024385798	7513.111982365382	440.1328717080929	350.75979985038515	9.166789055153657	7.471046780234494	1.0141496118802031	1.106227287802102	1.1162504895328376	1.5796565831633005	1671.0	host	hscC
gene-b0966	1726170.946211981	3535305.5917905965	1118448.1062588645	707267.049590018	36353.91120263211	31373.219176763152	750.4630876722665	597.9556750564237	118.32955899216894	96.94435965948982	106.29868158081902	93.24983590565918	318.0	host	hspQ
gene-b1557	415850.2734056136	906496.3983072361	1158630.0111258468	866475.2455202071	26760.517968604192	27564.645326292004	644.1969567602656	519.7403123125714	22.64517973320508	20.842620630638756	30.488382489193246	16.3805346216854	216.0	host	cspB
gene-b4840	2455994.7412530067	4477984.929957474	1495185.6968576526	832330.6796130093	42846.40896445963	43398.152418421116	782.2326917170592	638.0875536848309	125.94286101698751	112.6992244536684	129.5400264272631	100.30503371770327	1000.0	host	stfZ
gene-b1227	27938.649396223267	54683.13613918082	11535.033296606884	9455.402088143515	762.7164290212493	584.6145540385328	7.78396525814472	6.046110635648758	1.9882186930414885	1.5830766182563336	1.4597742089050525	2.112281329218597	678.0	host	narI
gene-b2075	47153.99206763647	115872.26099809085	26294.557168922318	18161.204443021088	1004.5485801633693	927.5903375348036	15.827268362100966	14.02099973187082	2.5405107581512154	2.4439769672814187	2.3159205102483913	2.8683356905819357	3123.0	host	mdtB
gene-b0589	243474.578966626	82062.5638825836	192780.15479680776	27437.805757286547	2175.649253860681	254.78477061009525	14.90717390458929	58.82628187947682	2.2883822229620376	1.5312639394110863	1.8017338655576889	2.4885404345417608	993.0	host	fepG
gene-b2365	15679.538083930885	36079.937311562455	9564.719822787769	8251.687472537802	240.48179187077554	211.14954625635585	6.060816873316446	6.684489214789822	0.9786977858636001	1.0472994418982795	1.1664597981816331	2.119710437911883	1338.0	host	dsdX
gene-b2704	13688.290763845082	14534.395391831998	6689.304499718507	3829.607297348449	216.23967575476993	238.03883609015756	3.806242649832371	3.2557685204428246	0.7247377816570587	0.3205872004712647	0.6139745121821499	1.5852130279050385	372.0	host	srlB
gene-b0931	232972.66067733697	437885.5537928209	192519.47036489466	136481.0919860516	4671.146768459647	4237.718816208533	135.03316703399864	90.29964238628533	12.197902300180292	10.979112279480994	9.935873485587777	16.643136708602334	1203.0	host	pncB
gene-b0063	9699.131741238802	19979.758442387345	4493.24409076582	2617.236027729319	135.1157459994531	133.8631096380024	4.540395272527311	2.8480796933679735	1.0189057247786313	0.50830316265197	0.8727750561178357	1.7333899070566556	1701.0	host	araB
gene-b1127	733885.1589147118	1596417.7829189862	381274.0012162294	212327.84811325697	9117.41397801652	9285.648615011654	119.59334540571325	96.73373853403717	23.918625048275292	22.209089824334512	39.27635485753978	29.637153105249862	1227.0	host	pepT
gene-b3056	429885.2458193129	876196.2980557814	257220.070569252	148541.00895411414	7303.979362661115	6398.202867443505	138.9014652059012	99.63173177663552	21.293402689017835	21.705228328274828	23.872161541455117	25.97314794389687	1239.0	host	cca
gene-b2158	28709.429954066847	64734.417353335004	26407.735967868324	21284.410271905916	853.6612832245448	710.8131121777928	24.395543799289243	16.059883224795332	1.870710910693567	1.7604817123022023	1.8489403881142459	3.129016409366843	1050.0	host	yeiH
gene-b4721	36775.87451886379	75094.37619113199	12343.359493528198	16076.372300327344	199.50684370231752	146.41277616656515	25.028928939806804	28.467104242846244	5.349255055087815	5.797285208522037	7.137453704117493	1.9500636454387377	144.0	host	ytiD
gene-b0655	2175742.5229438986	5776849.974940999	1171079.287235491	803598.22301225	19380.213316160174	23481.710034222666	328.52681833296623	304.91317775865906	81.35104717440477	83.67114323586827	134.97037499594092	132.24906877026908	909.0	host	gltI
gene-b3459	238689.5701945486	459617.8114198302	158303.58550449915	87415.27438302993	5626.0929924053535	4293.554661084523	65.70093846699285	54.83152464957315	14.041794519605512	10.86990976597882	15.56361432703398	13.7479487003431	384.0	host	panZ
gene-b3564	143487.155141007	314268.3054266873	68898.8511770712	42163.18673405439	1792.8466548292383	1677.9809794726511	22.82461384319348	21.38634560549723	6.167635931556919	5.081802880872337	8.267346146166792	8.897115122941935	1455.0	host	xylB
gene-b2982	73915.09571610732	166132.77458798268	44390.79744461517	28499.539321398934	1423.2708409442396	1057.3957559478908	29.12934324842522	23.2675247356041	5.849827546481354	5.835275281972378	3.06549149915206	6.440577177595831	981.0	host	insH9
gene-b2260	517916.4683773002	933885.4343769475	303974.3433503563	157261.72222988695	12580.583765356048	10855.794724194244	214.72352943808968	160.9776956741482	23.745011819752634	19.986342305486215	18.780556649182312	16.442660543133	1356.0	host	menE
gene-b3125	92289.70439883835	171935.21095964746	41574.1084500665	19920.448806037948	1259.5306634277836	1072.039310236545	18.908052855253565	12.737822915443063	3.3945103264828433	3.9415924613873807	4.774432308291024	4.918126617648884	885.0	host	garR
gene-b3497	255616.5596346401	519035.91603022587	163581.47816443106	87382.94180772472	5364.27006684542	5269.459979196347	64.44557457238815	38.107358667714486	8.69520343615868	7.522942672413343	11.02055711375025	14.618485080707288	753.0	host	rsmJ
gene-b1651	912574.1894183214	1968860.955599427	565471.080797633	399799.7382923036	16674.077854838397	14282.996940860687	346.0932989113622	265.79445993587984	40.591406006254594	39.97203792934732	39.8391206752702	43.08493560157588	408.0	host	gloA
gene-b2419	53228.834995918536	106076.1702539876	35548.875341361214	21844.080024075556	1011.260289358307	1034.494111282483	25.400787312626793	21.365855693539867	3.389288002903639	2.7826969000905777	4.0604181072312855	4.118534419166614	375.0	host	yfeK
gene-b4837	389846.90120735235	1212666.8978065087	228934.7571983662	177809.62421771282	11755.900863790319	5439.527460140229	120.09595217574727	89.62479583075009	27.075789386832483	25.19334514903434	218.57738223489412	23.98110268614742	1000.0	host	spfP
gene-b0318	42349.67423649813	90495.62731944054	22584.681528752586	15133.58428271485	530.9647483879501	424.4520877383196	12.107346106667507	8.916788727732214	1.5253321345200896	1.8695629809660885	2.9523460866316587	4.124094996690242	606.0	host	yahD
gene-b0254	15264.740894768449	32399.299411322525	12326.791225751651	7668.8528680962645	295.64504086893766	353.7489893957279	9.358851664932553	6.148477670511024	1.8524936969297396	0.9337909060706637	1.1922368603447566	2.1987294794208583	894.0	host	perR
gene-b0713	513776.86423590675	1003068.2039571147	273266.86486896715	124532.57688969426	5394.013602792455	4583.85534003274	82.13575048001906	56.15255144896869	18.235501314323848	18.902868155134247	24.704329555476058	27.889889851499337	735.0	host	pxpA
gene-b2164	19212.189012621704	43837.21035617983	12929.447066602199	8612.024563761412	335.28632150259983	377.5132300582515	9.260446473104265	5.510963280498683	1.6625022905021123	1.0963005944173227	1.3692956746508382	1.952869492410592	1251.0	host	psuT
gene-b2643	16862.54276581386	31131.562118452475	6583.1250632150395	6013.484661359247	287.91575875471705	211.29373187959206	7.291340643529153	3.8565061006351407	1.2586482482559562	1.039289225057172	0.912267140105068	2.8753879634704522	459.0	host	lfgA
gene-b3202	1167122.0891722064	2389913.3089782614	659910.0847887277	350999.9328500179	20338.67926961601	17793.011720513186	293.52515588703494	244.80193713285198	56.93935087926109	54.43141425909394	62.276025624768536	61.03780802844397	1434.0	host	rpoN
gene-b2085	40992.55679316021	78940.17982356192	23475.672395238536	21559.605232949878	795.015950753386	729.3013756221359	25.096392360129734	16.69939905841066	2.0589585495054985	1.968889316101824	2.5138201725193685	2.384228758951513	318.0	host	yegR
gene-b1095	9483829.758866858	16373061.608049916	6165096.621700884	2698679.861197425	219094.36778894044	184661.73468929034	3872.695601216401	3242.474434785959	625.3821837446723	555.1950819987482	407.11453591752087	353.29500896957353	1242.0	host	fabF
gene-b2625	11411.957133840548	14242.823934123515	6933.291289981797	4294.049033409857	171.15140293781795	164.4807357786094	5.3861646472289415	4.42699261339427	0.6828836240537636	0.48633760411917404	0.6209415988452099	1.1351859859405078	1410.0	host	yfjI
gene-b0250	92266.099384605	243437.81292729598	61147.10395255507	42045.89678547151	1546.9453727072005	1207.3422773119835	36.305699121478	26.277326993396528	6.583698529338848	6.498055948013712	7.808496360060163	8.460276123288061	468.0	host	ykfB
gene-b0053	1871435.0346877433	3455991.7306424263	1344062.3730463376	642293.8803065694	40559.880839956466	36692.06557290883	527.7828492122297	429.8478448671862	80.35104796034004	73.8531278512218	80.65821808289421	79.79169512021778	1287.0	host	surA
gene-b3364	281397.9059241135	410704.702852442	78195.49567473702	48436.2704683037	2158.3197223267975	1237.894010066147	127.63120254149489	85.28308294626571	14.662932638311776	10.871486257605504	8.373324142450304	14.966985948748077	1182.0	host	tsgA
gene-b0369	241702.36299167093	419076.13192202715	157508.8630509543	81641.33587593456	4331.447043580161	3697.710974692821	79.87253806725161	58.28788896717048	13.075225279266954	12.568004680628874	11.673702058289946	17.280563996503275	975.0	host	hemB
gene-b0470	564552.7225471063	1060649.7606126345	438196.9287031663	200843.27898182484	15563.020816311466	13029.827682699042	180.02173734345516	143.7982577958794	24.241096199950743	20.41652616914283	20.01836566841511	22.601358772600523	1932.0	host	dnaX
gene-b2392	311194.1760366958	496542.40583524003	189794.84292421662	107722.77330537837	3811.981610226944	2872.384691554425	70.12602020492393	51.206950445199084	9.449918857607916	8.470333006156029	17.143714466064292	16.023573818791522	1239.0	host	mntH
gene-b3733	8379241.563451888	13035132.133843996	5743365.172338671	1913191.3574075457	183572.89711862575	154387.39204177074	2893.3739817856426	1971.886118518671	416.30577466220916	385.17438986620823	290.69703419609397	359.39672985435936	864.0	host	atpG
gene-b1365	37804.57030960124	67292.36308036502	26257.69201350544	16188.794484245716	870.5753179737491	782.6428398721846	24.866403427210653	13.763021472781032	2.0424428392153473	3.0492214408460065	2.0186737749019175	2.552810590392529	264.0	host	ynaK
gene-b4168	760940.9720626441	1452846.2985549618	477832.2854325825	251889.93322510895	14513.734229648077	12385.37998491609	219.2701344225746	166.16453763474829	35.59686091203891	31.944224618386734	40.455870345993524	34.766848992964924	462.0	host	tsaE
