Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	gene_length	Entity	Symbol
gene-VC_RS11855	1957.2876694237223	1440.1078886345729	5921.622328260857	4965.793361058874	260.1454616068325	223.4225088236111	181.47856084999145	193.6098215249694	186.59706606670912	171.80357429700913	678	host	rnc
gene-VC_RS08875	2867.990627894694	2299.7303951861	10102.170294518059	8195.780506354682	288.0505720399857	205.37844688911673	207.4890949359508	162.89228781735383	152.02971980435117	144.0093402170364	408	host	ybgC
gene-VC_RS06875	3555.9107444477418	2372.1296195144246	10399.747888141748	9281.823114888237	344.8851421452728	291.11186900523956	235.2685156113646	206.90427105245487	187.6057908050979	202.8616255241247	639	host	gene-VC_RS06875
gene-VC_RS03725	4472.044736464685	2553.568525806496	10044.904397359003	8335.733973198285	283.52335460181774	235.67369972809243	233.18615972335374	226.1598557786958	230.21963401434317	199.02677278909215	1854	host	secD
gene-VC_RS03860	12115.565049311643	11490.279886607923	30355.658602115105	24016.735432670677	5213.6250246342215	4225.782622890303	3867.637201181589	6328.194560629813	6916.827696109155	5873.34874646914	594	host	gene-VC_RS03860
gene-VC_RS11865	7941.87995875361	5204.934517831684	17883.651613500213	15659.086135310085	1106.1043373952486	945.3002665647529	938.3934207554227	899.6258007131088	795.5062444429248	762.2639285108313	1794	host	lepA
gene-VC_RS09675	3284.960899594956	1934.1699115894328	7727.228263125455	6181.7699684653235	299.37167555871395	269.1539303404742	252.15391008600017	241.48552922686287	273.08960192910257	187.61690099973768	591	host	gene-VC_RS09675
gene-VC_RS10275	627.4874486700472	507.3444685937179	1834.4344225674456	1678.9347849001051	85.91935286744159	65.02271558057589	55.98104278318106	74.91081675526249	74.26210001064939	70.62724654767766	1434	host	gene-VC_RS10275
gene-VC_RS02195	76354.05793170024	53582.550832001005	218958.12132949603	178401.42701327035	8200.609319321493	6053.0427768552545	6708.914970570289	5731.298044756619	4570.2241115838715	23993.201776037422	312	host	rplU
gene-VC_RS15340	3178.419338829984	2340.5885494152944	7243.888850496749	5994.628027505138	650.697704077846	488.96014712233335	599.5719364011267	947.2634996696563	1196.3685277277061	933.5391470878701	204	host	gene-VC_RS15340
gene-VC_RS04835	2076.092594987184	1030.567579354925	5268.394157004695	4863.0105261725885	167.9061188132249	106.33830899278118	109.59641776798385	154.3575867255805	161.18477682393993	130.35455329905813	855	host	gene-VC_RS04835
gene-VC_RS04765	3161.2323666801653	2237.7243060912074	7852.614373938619	7305.243018360734	609.2225843529654	484.4461770161762	460.6122343015172	442.7770846412671	456.74766437971	388.9779870443894	1425	host	miaB
gene-VC_RS01375	287.1803845450761	168.5979967181939	663.064140969342	507.2887656019281	43.808279397408384	40.66381039938934	33.58322122490945	48.75067448470452	57.2472552204661	44.6790453274852	678	host	gene-VC_RS01375
gene-VC_RS10190	2668.76026117503	1920.8638741517489	7339.09878062376	6117.245418976832	378.7838468238188	298.73228638416975	313.7703429376258	251.8741398577394	236.24132157536621	208.2455545833904	561	host	smrB
gene-VC_RS17250	3481.9220360576855	1968.1715884072153	10079.901477097887	8234.115998089854	391.2636362675753	240.58204331741112	263.8275843465726	325.74281679437433	344.84691695215	271.43932280148044	291	host	gene-VC_RS17250
gene-VC_RS14360	1685.9103800433659	1194.4890803226313	3890.8101015882266	3391.315775237785	430.24211052019393	367.57733360108085	340.7529474565491	400.35681992856297	500.6346927725271	377.34893766422135	1581	host	gene-VC_RS14360
gene-VC_RS02670	3661.430292575276	2146.5900267564725	8603.635007433937	6618.033871193911	490.7301754020016	409.6741693538106	448.52529430512885	369.50579907085995	335.5359777649257	326.92471036768785	507	host	folK
gene-VC_RS08985	1693.9364500755592	1322.4903084341527	5213.932192475003	4827.253095833084	192.00581815364356	191.6765090021891	156.00352780776998	235.13671185526022	267.7019894803198	225.84504855600127	741	host	gene-VC_RS08985
gene-VC_RS07960	635.6610678711663	464.57044658091087	1653.1779285293148	1491.0188604440502	84.31542068491638	62.42703097668145	71.05504985540696	80.2880647460688	98.65093680363363	70.4482036323259	1707	host	gene-VC_RS07960
gene-VC_RS06525	5576.00250585653	3412.4084317421557	11477.587017040769	9814.318291886359	1052.7967335549095	1144.6125558149079	1020.786948775332	859.2383029933079	785.8930177300161	749.6112057735484	477	host	gene-VC_RS06525
gene-VC_RS07440	1288.5925770869633	924.2869847478322	3506.4323776678098	3297.0454151278254	122.8649223494405	93.25436492431787	87.87773432581443	68.21359205641565	64.74323303491065	63.94555276288638	867	host	gene-VC_RS07440
gene-VC_RS07215	1685.0154712492629	1050.5514578654747	3598.9088132814613	3052.0512074052062	170.31995810147592	142.22057709252198	154.0666153202577	166.85433982822138	171.05101462100268	139.0995284789149	4842	host	gene-VC_RS07215
gene-VC_RS00580	3020.9770261068224	2046.2590296466803	9008.613257149154	7048.886622892629	268.7316669964362	229.1206014963711	206.24984312326612	168.97373648504856	158.28548817907568	155.7873647469163	1254	host	lysA
gene-VC_RS05655	4581.258313985623	2928.2074264200096	13451.600583025343	9761.915309586493	335.1984592970638	255.77592687756234	246.49003600378498	185.09977302709277	239.38921004068456	172.82721819265234	588	host	gene-VC_RS05655
gene-VC_RS06145	2067.113935357963	1271.7990272003851	5274.330179053282	4349.7605809336055	309.4891367411086	261.4521980437306	251.4212897636426	251.08826811199873	254.01922997495913	200.04410294740072	984	host	gene-VC_RS06145
gene-VC_RS09300	108.34710462035379	84.41025269328128	328.9625149901211	236.3266818535679	22.123168859425274	16.35318217800446	16.5110685625425	27.59754568841628	29.456481887453876	26.207027492355017	663	host	gene-VC_RS09300
gene-VC_RS17570	1147.0225037450407	675.9835695240868	3152.837165351748	2736.8052762291522	112.20378659318862	84.70437331263247	100.72611774638557	101.44601850081649	116.75054596361373	94.96141196461433	384	host	gene-VC_RS17570
gene-VC_RS16345	896.6190600785675	607.1277169370337	1970.431597411183	1908.2701769375296	135.9995572626616	111.42140489503593	104.61273817460393	121.77896464517706	116.5166529428409	100.60565463494348	759	host	moeB
gene-VC_RS17065	1042.230331720019	760.3212401227835	2579.238346239603	1940.3497998311725	127.90365388685449	113.06170238908581	91.76252771239865	115.72187682609442	121.2731871927227	111.41696873019788	711	host	gene-VC_RS17065
gene-VC_RS17350	4276.686770887277	2689.6924147634	9444.18569780914	8805.313877457767	659.8916358128758	570.0783686019056	547.976742986127	365.0644752062785	379.85212664268784	306.9769135198407	1437	host	gene-VC_RS17350
gene-VC_RS15895	234.1358320018132	168.2651453115391	484.6961052205708	343.08407289586756	35.05363694278636	31.15785141589008	26.085566841203885	34.344303097079866	42.06577249982669	31.262087576152396	1203	host	fruB
gene-VC_RS01840	64272.64295663198	42830.5448475248	137030.0533654552	109106.49457175127	5649.931324717071	4525.331964052916	5249.735862722619	3825.147216837291	3521.068520458795	3134.7212972895827	369	host	rpsF
gene-VC_RS06580	921.4375357365211	598.353443126756	2225.532116718881	2099.6259975734074	177.3570812566771	153.72049945034811	129.45507454971136	164.21680448775388	165.10795183289605	149.25520770279863	1194	host	gene-VC_RS06580
gene-VC_RS05405	2849.25612424967	1984.538919703741	6920.805878492255	6369.292279224209	308.8028516023668	299.9952818085733	256.86163391085785	273.2416907875183	266.8901785513149	252.17035396682107	966	host	gene-VC_RS05405
gene-VC_RS15505	1232.5065951111446	893.6665827093576	3200.6604445894172	2635.8454841066223	243.69227056364093	185.08628562113404	188.4906356251812	279.1534578849226	342.21881407706144	265.76688849196455	477	host	gene-VC_RS15505
gene-VC_RS05695	683.915019505051	434.0170482929319	1314.8130120453009	1330.8196063094483	88.69164906006483	85.41926117102017	73.37447276484673	82.37646636577757	82.88391582475325	71.71538495133296	738	host	gene-VC_RS05695
gene-VC_RS08720	537.0855149027675	335.6401394398273	886.2297914451024	820.7410185309047	117.71864356097036	89.39844117214366	101.87661740710787	112.23639224007356	104.41751504404104	98.4557106228818	447	host	gene-VC_RS08720
gene-VC_RS04780	10959.106965840969	7588.959806184166	28779.412993667847	24196.65286424444	1547.7917195512155	1172.0937792062798	1270.9860059016673	963.4276213353437	840.82237499328	829.18562797942	1722	host	ptsI
gene-VC_RS05390	3960.77911777564	3056.886265789271	10727.920061376726	8572.205398354385	947.5161931934036	859.324300342005	750.6403513347892	880.1696023037348	839.991458543909	753.8599587859082	1197	host	gene-VC_RS05390
gene-VC_RS15575	1330.9447345873577	971.9400367719784	3691.126437484973	3672.440719045373	390.83950224452093	290.131662513067	266.99605992599214	355.8663347001591	443.17929931356014	356.6872321078393	615	host	gene-VC_RS15575
gene-VC_RS12220	704.6547404058323	477.9964709824064	1547.5026187937735	1424.5298861060594	154.43101810675424	147.67099347406605	109.8607443709817	169.24197286548727	143.95966569017577	132.74816048122443	279	host	gene-VC_RS12220
gene-VC_RS01110	1564.629809429476	1236.132293205296	4400.76972232547	4237.198677280511	262.8473846770117	223.58126108283557	175.64418767108774	163.23065575724598	186.67075916504058	153.86765949061575	708	host	gene-VC_RS01110
gene-VC_RS05755	2157.332762015375	1370.99826132205	5275.02078046727	4054.95401593358	64.38095456820153	53.008741946575086	50.97382792938216	56.54506735590271	56.257086249119745	41.59404830458495	1572	host	gene-VC_RS05755
gene-VC_RS05840	2964.681537858145	1886.9386449642127	8488.641625517917	6891.365416865538	337.63673097201155	206.5173292193706	244.06066067989053	271.57094113124685	296.6664670306495	247.9859761752321	183	host	gene-VC_RS05840
gene-VC_RS10710	974.0173965583375	578.0762762797445	1676.714751662516	1476.102797235864	74.65898721430193	64.4370498005313	65.01319715713537	60.129415155500496	59.9469115557201	54.73984693452263	2721	host	copA
gene-VC_RS13595	1485.2921691658653	1162.372795826477	4398.075373515884	3257.438051374667	197.3149628308669	162.26361581521977	143.87273400583462	137.43959285721007	165.52531416774733	118.93778637825052	420	host	gene-VC_RS13595
gene-VC_RS09305	223.28716566220848	139.45408624945205	646.050364212688	455.2226914280365	40.92703194065525	35.19477006966751	36.52598751072966	44.9024873953928	58.03283545137758	38.904616045826536	999	host	dctP
gene-VC_RS04650	346.65355545449523	262.45392759225626	971.0316281618965	861.321638843599	52.00593427611645	41.76519157993369	43.048994353499474	50.54555994482663	55.86620029151709	44.45424509942239	2214	host	vpsO
gene-VC_RS16165	2841.9134945789983	2268.7797966757175	12188.048604624724	9287.786435986887	373.73650989386874	226.75245657804092	283.15261304953174	211.03181534400923	207.7220404218118	162.79148215700377	2082	host	gene-VC_RS16165
gene-VC_RS03330	1613.1173134213516	1230.4141302163193	5509.42839561074	4135.793786642919	343.87516236128664	320.7902513874223	259.1562645071282	293.54173983654437	294.24122984919234	258.3426700920718	450	host	rimI
gene-VC_RS14090	1165.1348519700211	763.860263433138	2762.08598133664	2243.272752431168	63.80586263969148	53.9023217773829	54.16045861307966	61.374164499521996	54.5902096195162	51.28414259448189	477	host	gene-VC_RS14090
gene-VC_RS18010	1597.2168405350278	1038.1823071724498	3937.119184991934	3414.133914527262	137.2968474236238	120.09857325020286	102.84092653488756	66.70883110611098	59.99056853573256	54.43376950949679	2373	host	ppsA
gene-VC_RS12875	2281.625285016924	1609.6815682041452	6215.974234495871	4953.893994952162	368.2893082625991	309.10110059631285	302.09140258874055	327.2633688534956	299.3095561736709	288.8903322987673	918	host	gene-VC_RS12875
gene-VC_RS08210	11980.4335727357	8029.749782801289	30187.345890879173	20937.0069281165	230.35749574876567	147.60693723051168	174.02666264919793	100.38978178915298	85.034749599631	83.53490013188161	234	host	gene-VC_RS08210
gene-VC_RS09540	1449.4896719752278	962.6302422199315	3133.568489016519	2957.1714153540966	251.4059311209859	224.537307215379	212.3023215896374	240.18073486852106	237.87949703114666	212.66284042460222	1848	host	gene-VC_RS09540
gene-VC_RS14150	54208.40971818671	35906.17882044261	149016.61525185296	120603.8949322398	6460.140578536453	5221.107126039017	4611.034489948172	2967.2289300397592	3519.3385490271903	2449.3662933653573	213	host	gene-VC_RS14150
gene-VC_RS16470	600.354315095914	387.532009516951	1413.5925780734096	1394.223034349866	65.9274786965373	50.409741777956604	52.10043850034408	47.09457733123087	61.25279425811857	41.70398246672471	381	host	gene-VC_RS16470
gene-VC_RS16700	233.0595433560386	181.23643102317268	670.7083091481558	721.2714544509606	51.06891085512194	35.126805997358694	37.32255425205954	43.121927332850184	46.177334849385275	35.84177882771433	657	host	gene-VC_RS16700
gene-VC_RS16610	160.94732231048877	110.942898643679	386.1164154307456	273.1889218558817	25.329695623026307	23.077689500116414	21.864368109495032	24.178152930753196	28.955831066255424	22.03583922312159	2490	host	napA
gene-VC_RS08440	263.25933244220596	159.40501295733552	555.8831342747968	556.2400804497692	56.17331969053734	46.06282747413186	36.58781586694728	56.95494182530526	54.07520764197359	56.077053117330664	1113	host	gene-VC_RS08440
gene-VC_RS07090	3395.977751222356	2061.813001532913	6985.150950409702	5512.537919540951	373.72248226678016	227.53457953815612	281.5823933473177	241.66405780274954	316.67152571321117	235.02863843967685	339	host	rstR
gene-VC_RS14225	234.50182463700423	196.94664722123198	811.3332273608072	703.0408693017101	56.78303343928499	43.264073399754224	42.001371744869715	47.41774465069234	61.56946426707459	50.354681971569946	1185	host	hmpA
gene-VC_RS14895	11041.171889173052	6862.094575686712	29459.451056123256	24330.696506636476	900.431408552658	594.310980753522	638.9710151177003	495.3571510795424	660.541536396146	470.7916242910256	270	host	gene-VC_RS14895
gene-VC_RS05335	416.56238816964895	276.43111954160116	1019.517505982951	927.5207751123521	29.021209987730714	22.401553867836753	21.109980223240246	19.711016923537684	25.084048833548643	20.435471011386507	1611	host	gene-VC_RS05335
