Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	gene_length	Entity	Symbol
gene-PA3821	19774.17590812009	76898.06895353794	4.302030249466439	3.2843244766465896	0.784814361724765	0.6206686676712211	1863	host	secD
gene-PA1715	11875.979921607908	94315.59547923828	0.0	0.0	0.0	0.2485075710018235	423	host	pscB
gene-PA2803	15754.82820245565	4874.816335253884	0.0	0.0	0.0	0.0	744	host	gene-PA2803
gene-PA5220	14259.844504412415	15442.84882846851	0.0	0.0	0.0	0.0	822	host	gene-PA5220
gene-PA3642	24869.00745960468	38901.99966549139	0.0	0.0	0.0	0.0	606	host	rnhB
gene-PA0413	21442.074545078573	29820.550553870104	0.1620437192631617	0.164946663970686	0.01407687940127893	0.014168850590884399	7419	host	chpA
gene-PA0975	48445.03507644584	182483.6907385605	0.504068072626162	0.0	0.39409950293618257	0.0	795	host	gene-PA0975
gene-PA0615	22716.263919819776	10543.207422758402	2.3298495217313886	3.9526463178246742	1.6191685004354788	2.0371841576312275	516	host	gene-PA0615
gene-PA1578a	6566.71830959496	78226.46448572115	1.5715063440697992	0.0	0.0	0.0	255	host	gene-PA1578a
gene-PA2402	9212.531997441474	3990.723430957355	0.337187283533423	0.3168257087374807	0.1149138032833335	0.06803799516748955	15450	host	gene-PA2402
gene-PA2496	9735.54167992276	14057.609897011202	0.0	0.0	0.0	0.0	516	host	gene-PA2496
gene-PA1420	11960.808349619392	8635.388936735453	1.9082577035133277	0.9712216666654915	0.24865801970973425	0.250282625080408	420	host	gene-PA1420
gene-PA5016	34631.05093928729	95966.27486262574	1.4625332764153243	1.240611618003365	0.3176288572934562	0.2557632665055264	1644	host	aceF
gene-PHIKZ060	9967.340291349492	10794.236170919314	6047.984259072553	6285.018210409061	836.1125912739814	834.37970136181	336	phage	gene-PHIKZ060
gene-PA2021	7442.280750874289	24179.089022859265	0.0	0.0	0.0	0.0	225	host	gene-PA2021
gene-PA5553	90407.98799477569	272440.43969418894	5.644142503349279	2.8726274647852565	0.2451557940800197	0.0	426	host	atpC
gene-PA0768	37211.403754371444	103927.66334386879	11.248676989131196	7.633461520458599	0.8550345940896125	1.1065126582502247	855	host	lepB
gene-PA4166	7296.353677327734	3950.8315396828866	0.0	0.0	0.0	0.0	459	host	gene-PA4166
gene-PA2032	7050.581763986168	15271.0035933848	0.0	0.28625480701719747	0.21986603848018607	0.07376751055001497	1425	host	gene-PA2032
gene-PA2393	8701.998650799558	4038.8233334397437	0.0	0.0	0.0775325673927902	0.07803912586026085	1347	host	gene-PA2393
gene-PA3366.1	150706.18520520435	1722760.0928787228	4.007341177377988	4.079130999995064	0.0	0.0	100	host	amiL
gene-PA2135	4906.998297279751	1328.5213748823771	0.5871562164656393	0.8965123076912229	0.0	0.3850501924313969	1365	host	gene-PA2135
